amp_id,length,ab_proba,mean_plddt,ptm,mean_pae,confidence
AMP_02388,30,0.9523,97.333,0.54,,Very high
AMP_01454,36,0.9849,97.24111111111111,0.6,,Very high
AMP_02689,28,0.9541,97.19785714285715,0.5,,Very high
AMP_02834,27,0.9437,97.15703703703703,0.48,,Very high
AMP_01282,37,0.9811,97.10810810810813,0.61,,Very high
AMP_01129,38,0.9591,97.03921052631578,0.62,,Very high
AMP_01781,34,0.9623,96.98852941176472,0.58,,Very high
AMP_01433,36,0.9623,96.95277777777777,0.6,,Very high
AMP_02526,29,0.9514,96.85931034482759,0.52,,Very high
AMP_02105,32,0.9754,96.84937500000001,0.57,,Very high
AMP_01419,36,0.94,96.84666666666666,0.59,,Very high
AMP_00828,41,0.9455,96.81829268292684,0.61,,Very high
AMP_01647,35,0.9774,96.80799999999999,0.59,,Very high
AMP_03338,24,0.9547,96.71625,0.38,,Very high
AMP_01981,33,0.9725,96.66060606060606,0.58,,Very high
AMP_02712,28,0.9565,96.63214285714285,0.49,,Very high
AMP_02868,27,0.9817,96.59037037037037,0.44,,Very high
AMP_01117,38,0.9385,96.58815789473682,0.55,,Very high
AMP_01418,36,0.9539,96.46666666666667,0.61,,Very high
AMP_02228,31,0.9672,96.43516129032257,0.55,,Very high
AMP_01453,36,0.9603,96.38388888888889,0.61,,Very high
AMP_02713,28,0.9444,96.30357142857143,0.49,,Very high
AMP_03368,24,0.9384,96.19500000000001,0.33,,Very high
AMP_02392,30,0.939,96.13966666666667,0.53,,Very high
AMP_01818,34,0.9766,96.04558823529412,0.54,,Very high
AMP_00844,41,0.9635,96.02878048780488,0.59,,Very high
AMP_00926,40,0.9589,95.9965,0.62,,Very high
AMP_02226,31,0.9577,95.99258064516131,0.5,,Very high
AMP_02971,26,0.9384,95.98807692307693,0.42,,Very high
AMP_01646,35,0.9759,95.886,0.59,,Very high
AMP_08875,19,0.9591,95.8221052631579,0.04,,Very high
AMP_01614,35,0.9407,95.79542857142857,0.57,,Very high
AMP_01413,36,0.9643,95.74805555555557,0.58,,Very high
AMP_02532,29,0.9471,95.74758620689656,0.51,,Very high
AMP_00741,42,0.9795,95.6854761904762,0.6,,Very high
AMP_03367,24,0.9443,95.65625,0.35,,Very high
AMP_01431,36,0.9581,95.5875,0.58,,Very high
AMP_08874,19,0.9599,95.51052631578946,0.04,,Very high
AMP_01820,34,0.9839,95.45764705882353,0.53,,Very high
AMP_02841,27,0.9685,95.43777777777778,0.43,,Very high
AMP_03617,22,0.9591,95.43136363636364,0.25,,Very high
AMP_03652,22,0.9461,95.36954545454545,0.26,,Very high
AMP_01008,39,0.9733,95.28051282051283,0.57,,Very high
AMP_02867,27,0.9738,95.2625925925926,0.41,,Very high
AMP_00843,41,0.9488,95.17292682926829,0.58,,Very high
AMP_03529,23,0.9492,95.10043478260869,0.31,,Very high
AMP_01294,37,0.957,94.9981081081081,0.57,,Very high
AMP_00549,44,0.9605,94.87477272727274,0.61,,Very high
AMP_01479,36,0.9755,94.80027777777777,0.56,,Very high
AMP_09310,18,0.9599,94.4238888888889,0.04,,Very high
AMP_01780,34,0.9712,94.03794117647058,0.56,,Very high
AMP_01410,36,0.9443,93.66333333333333,0.58,,Very high
AMP_01615,35,0.9407,93.62314285714285,0.57,,Very high
AMP_02417,30,0.9707,93.591,0.51,,Very high
AMP_09734,17,0.9642,93.57705882352941,0.04,,Very high
AMP_01411,36,0.9641,93.49916666666667,0.57,,Very high
AMP_10407,15,0.9396,92.96199999999999,0.05,,Very high
AMP_02247,31,0.9623,92.75193548387095,0.51,,Very high
AMP_01616,35,0.9407,92.35342857142858,0.56,,Very high
AMP_01452,36,0.9447,92.29777777777777,0.49,,Very high
AMP_01408,36,0.9488,92.07916666666668,0.57,,Very high
AMP_01409,36,0.9463,91.92472222222221,0.57,,Very high
AMP_01644,35,0.9751,91.82114285714287,0.5,,Very high
AMP_02974,26,0.9666,91.65153846153846,0.35,,Very high
AMP_01439,36,0.9565,90.90333333333334,0.54,,Very high
AMP_02119,32,0.9654,90.88374999999999,0.51,,Very high
AMP_01617,35,0.9558,90.72285714285715,0.55,,Very high
AMP_01412,36,0.9625,90.65333333333334,0.54,,Very high
AMP_02548,29,0.943,90.26068965517241,0.43,,Very high
AMP_01114,38,0.9536,89.42815789473684,0.55,,Confident
AMP_01440,36,0.9462,88.91972222222222,0.55,,Confident
AMP_02410,30,0.9554,88.71266666666665,0.44,,Confident
AMP_00555,44,0.9475,88.6684090909091,0.6,,Confident
